Binomial,Common name,Order,Family,Trophic level via fishbase,NwP,N,Prop w plastic,Mean num particles per indv,Habitat,Average depth,All_forage,Prime_forage,Second_forage,Primary_aggregation,Secondary_aggregation,Commercial,Aquaculture,Recreational ,IUCN status,Vulnerability score (via fishbase from Cheug et al 2005),Oceanographic province (from Longhurst 2007),Basin,Gyre,Year of collection,Publication year,Source,Includes microplastic,Notes
Buglossidium luteum,Solenette,Pleuronectiformes,Soleidae,3.3,13,50,0.26,0.3198,demersal,25,Benthic foraging,Benthic foraging,,,,minor commercial,N,N,LC,24,NECS,North Atlantic,English Channel,June 2010-July 2011,2013,Lusher et al. 2013,Y,
Callionymus lyra,Dragonette,Perciformes,Callionymidae,3.3,19,50,0.38,0.6802,demersal,17.5,Benthic foraging,Benthic foraging,,,,minor commercial,N,N,LC,29,NECS,North Atlantic,English Channel,June 2010-July 2011,2013,Lusher et al. 2013,Y,
Cepola macrophthalma,Redband fish,Perciformes,Cepolidae,3.1,20,62,0.322580645,0.6935,demersal,207.5,"Benthic foraging, particulate feeder",Particulate feeder,Benthic foraging,Schooling,Solitary,minor commercial,N,N,LC,50,NECS,North Atlantic,English Channel,June 2010-July 2011,2013,Lusher et al. 2013,Y,
Merlangius merlangus,Whiting,Gadiformes,Gadidae,4.4,16,50,0.32,0.56,benthopelagic,65,"Active predation, benthic foraging, particulate feeder",Benthic foraging,,,,highly commercial,N,Y,LC,38,NECS,North Atlantic,English Channel,June 2010-July 2011,2013,Lusher et al. 2013,Y,
Micomesistius poutassou,Blue whiting,Gadiformes,Gadidae,4.1,14,27,0.518518519,1.073,bathypelagic,350,"Active predation, benthic foraging, particulate feeder",Active predation,Particulate feeder,,,highly commercial,N,N,Not assessed,34,NECS,North Atlantic,English Channel,June 2010-July 2011,2013,Lusher et al. 2013,Y,
Microchirus variegatus,Thick back sole,Pleuronectiformes,Soleidae,3.3,12,51,0.235294118,0.3718,demersal,210,Benthic foraging,Benthic foraging,,,,commercial,N,N,LC,32,NECS,North Atlantic,English Channel,June 2010-July 2011,2013,Lusher et al. 2013,Y,
Trachurus trachurus,Atlantic horse mackerel,Perciformes,Carangidae,3.7,16,56,0.285714286,0.4285,pelagic-neritic,150,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,highly commercial,N,Y,VU,59,NECS,North Atlantic,English Channel,June 2010-July 2011,2013,Lusher et al. 2013,Y,
Trisopterus minutus,Poor cod,Gadiformes,Gadidae,3.7,20,50,0.4,0.78,benthopelagic,107.5,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,,,commercial,N,N,Not assessed,48,NECS,North Atlantic,English Channel,June 2010-July 2011,2013,Lusher et al. 2013,Y,
Zeus faber,John Dory,Zeiformes,Zeidae,4.5,20,46,0.476190476,1.1478,benthopelagic,100,"Active predation, benthic foraging",Active predation,Benthic foraging,Solitary,,commercial,Y,N,DD,68,NECS,North Atlantic,English Channel,June 2010-July 2011,2013,Lusher et al. 2013,Y,
Arctozenus risso,Spotted barracudina,Aulopiformes,Paralepidae,3.2,3,14,0.21,0.29,bathypelagic,1100,"Active predation, benthic foraging, particulate feeder",Particulate feeder,Active predation,Schooling,Solitary,none,N,N,LC,34,NECS,North Atlantic,North Atlantic,2013-2014,2015,Lusher et al. 2015,Y,
Argyropelecus spp.,Hatchetfish sp.,Stomiiformes,Stomiidae,,0,5,0,0,,,,,,,,,,,,,NECS,North Atlantic,North Atlantic,2013-2014,2015,Lusher et al. 2015,Y,
Benthosema glaciale,Glacier lantern fish,Myctophiformes,Myctophidae,3,6,27,0.22,0.33,pelagic-oceanic,350,Particulate feeder,Particulate feeder,,,,none,N,N,LC,27,NECS,North Atlantic,North Atlantic,2013-2014,2015,Lusher et al. 2015,Y,
Lampanyctus crocodilus,Jewel lanternfish,Myctophiformes,Myctophidae,3.2,0,2,0,0,bathypelagic,596,,Particulate feeder,,,,none,N,N,LC,60,NECS,North Atlantic,North Atlantic,2013-2014,2015,Lusher et al. 2015,Y,
Maurolicus muelleri,Mueller's pearlside,Stomiiformes,Sternoptychidae,3,8,282,0.03,0.032,bathypelagic,350,Particulate feeder,Particulate feeder,,,,minor commercial,N,N,Not assessed,13,NECS,North Atlantic,North Atlantic,2013-2014,2015,Lusher et al. 2015,Y,
Myctophum punctatum,Spotted lanternfish,Myctophiformes,Myctophidae,3.4,0,3,0,0,bathypelagic,500,,Particulate feeder,,,,none,N,N,LC,32,NECS,North Atlantic,North Atlantic,2013-2014,2015,Lusher et al. 2015,Y,
Notoscopelus kroyeri,Lancet fish,Myctophiformes,Myctophidae,3.2,63,417,0.15,0.16,pelagic-oceanic,850,Particulate feeder,Particulate feeder,,,,none,N,N,Not assessed,39,NECS,North Atlantic,North Atlantic,2013-2014,2015,Lusher et al. 2015,Y,
Stomias boa,Boa dragonfish,Stomiiformes,Stomiidae,4,2,5,0.4,0.8,bathypelagic,1136.5,"Active predation, benthic foraging",Active predation,Benthic foraging,,,none,N,N,LC,42,NECS,North Atlantic,North Atlantic,2013-2014,2015,Lusher et al. 2015,Y,
Xenodermichthys copei,Bluntsnout smoothhead,Osmeriformes,Alepocephalidae,3.2,3,5,0.6,1.2,,,"Active predation, particulate feeder",Particulate feeder,,,,none,N,N,LC,39,NECS,North Atlantic,North Atlantic,2013-2014,2015,Lusher et al. 2015,Y,
Acanthocybium solandri,Wahoo,Perciformes,Scombridae,4.3,1,885,0.001129944,0.001129944,pelagic-oceanic,6,Active predation,Active predation,,Solitary,,commercial,N,Y,LC,46,CARB,North Atlantic,Gulf of Mexico,1965-1981,1983,Manooch and Hogarth 1983,N,
Thunnus albacares,Yellowfin tuna,Perciformes,Scombridae,4.4,6,196,0.030612245,0.030612245,pelagic-oceanic,50.5,"Active predation, benthic foraging",Active predation,Benthic foraging,Schooling,,highly commercial,experimental,Y,NT,51,GFST,North Atlantic,Southeastern US,1980-1982,1983,Manooch and Mason 1983,N,
Thunnus atlanticus,Blackfin tuna,Perciformes,Scombridae,4.4,2,89,0.02247191,0.02247191,pelagic-oceanic,,"Active predation, benthic foraging",Benthic foraging,Active predation,Schooling,,commercial,N,Y,LC,61,GFST,North Atlantic,Southeastern US,1980-1982,1983,Manooch and Mason 1983,N,
Coryphaena hippurus,Common dolphinfish,Perciformes,Coryphaenidae,4.4,20,2219,0.009013069,0.015772871,pelagic-neritic,7.5,"Active predation, benthic foraging",Active predation,Benthic foraging,Schooling,,highly commercial,Y,Y,LC,40,GFST,North Atlantic,Southeastern US,1980-1981,1983,Manooch et al. 1983,N,
Prionace glauca,Blue shark,Carcharhiniformes,Carcharhinidae,4.4,29,893,0.032474804,0.0358,pelagic-oceanic,500.5,"Active predation, scavenging",Active predation,Scavenging,Solitary,,minor commercial,N,Y,NT,77,CCAL,North Pacific,Todos Santos bay,1995-1997,2010,Markaida and Sosa-Nishizaki 2010,N,
Acanthurus lineatus,Lined surgeonfish,Perciformes,Acanthuridae,2,4,24,0.166666667,0.25,reef-associated,2,Grazing,Grazing,,Schooling,Spawning,commercial,N,N,LC,23,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Caranx papuensis,Brassy Trevally,Perciformes,Carangidae,4,14,32,0.4375,1.03125,reef-associated,25.5,"Active predation, benthic foraging",Active predation,Benthic foraging,Schooling,Solitary,minor commercial,Y,Y,LC,33,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Cheilopogon pitcairnensis,,Beloniformes,Exocoetidae,3.9,2,21,0.095238095,0.095238095,pelagic-neritic,10,"Active predation, particulate feeder",Active predation,Particulate feeder,,,minor commercial,N,N,Not assessed,16,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Chelidonichthys kumu,Bluefin gurnard,Scorpaeniformes,Triglidae,3.7,1,27,0.037037037,0.074074074,demersal,112.5,"Active predation, benthic foraging",Benthic foraging,,,,commercial,N,N,LC,29,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Coryphaena hippurus,Common dolphinfish,Perciformes,Coryphaenidae,4.4,2,10,0.2,0.4,pelagic-neritic,7.5,"Active predation, benthic foraging, particulate feeder",Active predation,Benthic foraging,Schooling,,highly commercial,Y,Y,LC,40,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Ctenochaetus striatus,Striated surgeonfish,Perciformes,Acanthuridae,2,13,56,0.232142857,0.303571429,reef-associated,18,Grazing,Grazing,,Schooling,Solitary,commercial,N,N,LC,18,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Decapterus macrosoma,Shortfin Scad,Perciformes,Carangidae,3.4,7,25,0.28,0.32,reef-associated,50,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,commercial,N,N,LC,17,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Decapterus muroadsi,Amberstripe scad,Perciformes,Carangidae,3.4,16,25,0.64,1.56,pelagic-oceanic,160.5,Particulate feeder,Particulate feeder,,Schooling,,commercial,N,N,LC,41,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Ellochelon vaigiensis,Squaretail mullet,Mugiliformes,Mugilidae,2.2,16,33,0.484848485,2.060606061,reef-associated,2.5,"Benthic foraging, grazing",Grazing,Benthic foraging,Schooling,,commercial,Y,N,LC,54,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Girella tricuspidata,Parore,Perciformes,Kyphosidae,2.1,14,20,0.7,4.15,benthopelagic,10,"Benthic foraging, grazing",Grazing,Benthic foraging,Schooling,,commercial,N,Y,Not assessed,36,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Gnathodentex aureolineatus,Striped large-eye bream,Perciformes,Lethrinidae,3.7,2,29,0.068965517,0.068965517,reef-associated,16.5,"Active predation, benthic foraging",Benthic foraging,Active predation,Schooling,Solitary,commercial,N,N,LC,30,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Heteropriacanthus cruentatus,Glasseye,Perciformes,Priacanthidae,3.6,3,10,0.3,0.3,reef-associated,151.5,"Active predation, benthic foraging, particulate feeder",Benthic foraging,,Schooling,Solitary,minor commercial,N,N,LC,29,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Hyporhamphus ihi,,Beloniformes,Hemiramphidae,3.2,0,24,0,0,pelagic-neritic,,Particulate feeder,Particulate feeder,,Schooling,,minor commercial,N,N,Not assessed,20,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Katsuwonus pelamis,Skipjack tuna,Perciformes,Scombridae,4.4,6,26,0.230769231,0.346153846,pelagic-oceanic,130,"Active predation, benthic foraging, particulate feeder",Active predation,Benthic foraging,Schooling,,highly commercial,N,Y,LC,38,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Kyphosus sandwicensis,Pacific chub,Perciformes,Kyphosidae,2,20,39,0.512820513,2.051282051,reef-associated,,Grazing,Grazing,,Schooling,,none,N,N,Not assessed,55,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Lethrinus amboinensis,Ambon emperor,Perciformes,Lethrinidae,4,6,26,0.230769231,0.384615385,reef-associated,17.5,"Active predation, benthic foraging",Benthic foraging,Active predation,Solitary,,minor commercial,N,N,LC,51,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Lethrinus obsoletus,Orange-striped emperor,Perciformes,Lethrinidae,3.9,4,30,0.133333333,0.166666667,reef-associated,15,Benthic foraging,Benthic foraging,,Schooling,Solitary,minor commercial,N,N,LC,33,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Lutjanus gibbus,Humpback red snapper,Perciformes,Lutjanidae,4.1,6,29,0.206896552,0.413793103,reef-associated,75.5,"Active predation, benthic foraging",Benthic foraging,,Schooling,,commercial,N,Y,LC,35,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Meuschenia scaber,Velvet leatherjacket,Tetraodontiformes,Monacanthidae,3.1,7,19,0.368421053,0.736842105,demersal,110,"Benthic foraging, particulate feeder",Benthic foraging,Particulate feeder,Solitary,Schooling,commercial,N,N,Not assessed,27,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Mugil cephalus,Flathead gray mullet,Mugiliformes,Mugilidae,2.5,3,22,0.136363636,0.272727273,benthopelagic,5,"Benthic foraging, grazing, scavenging",Grazing,Benthic foraging,Schooling,,highly commercial,Y,Y,LC,42,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Naso lituratus,Orangespine unicornfish,Perciformes,Acanthuridae,2.3,4,28,0.142857143,0.25,reef-associated,17.5,"Grazing, particulate feeder",Grazing,,Schooling,,minor commercial,N,N,LC,34,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Naso unicornis,Bluespine unicornfish,Perciformes,Acanthuridae,2.2,5,30,0.166666667,0.233333333,reef-associated,90.5,"Grazing, particulate feeder",Grazing,,Schooling,,commercial,N,Y,LC,32,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Nemadactylus macropterus,Tarakihi,Perciformes,Cheilodactylidae,3.4,2,23,0.086956522,0.304347826,demersal,175,Benthic foraging,Benthic foraging,,,,commercial,N,Y,Not assessed,50,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Pagrus auratus,Silver seabream,Perciformes,Sparidae,3.6,1,22,0.045454545,0.045454545,reef-associated,100,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Particulate feeder,Schooling,,commercial,experimental,Y,LC,69,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Scarus niger,Dusky parrotfish,Perciformes,Scaridae,2,7,30,0.233333333,0.266666667,reef-associated,10,Grazing,Grazing,,Solitary,,commercial,N,N,LC,20,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Scarus oviceps,Dark capped parrotfish,Perciformes,Scaridae,2,5,45,0.111111111,0.311111111,reef-associated,10,Grazing,Grazing,,Solitary,Schooling,commercial,N,N,LC,25,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Scarus psittacus,Common parrotfish,Perciformes,Scaridae,2,5,30,0.166666667,0.166666667,reef-associated,13.5,Grazing,Grazing,,Schooling,,commercial,N,N,LC,16,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Schedophilus velaini,Violet warehou,Perciformes,Centrolophidae,4.2,8,14,0.571428571,1.428571429,bathypelagic,270,"Active predation, benthic foraging, particulate feeder",Particulate feeder,Active predation,,,none,N,N,LC,61,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Seriola lalandi,Yellowtail amberjack,Perciformes,Carangidae,4.2,3,15,0.2,0.266666667,benthopelagic,414,"Active predation, benthic foraging, particulate feeder",Particulate feeder,Active predation,Solitary,Schooling,minor commercial,experimental,Y,LC,69,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Siganus punctatus,Goldspotted spinefoot,Perciformes,Siganidae,2,4,29,0.137931034,0.24137931,reef-associated,21,Grazing,Grazing,,Schooling,,commercial,N,N,LC,24,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Sphyraena forsteri,Bigeye barricuda,Perciformes,Sphyraenidae,4.4,2,12,0.166666667,0.25,reef-associated,153,Active predation,Active predation,,Schooling,,commercial,N,N,Not assessed,44,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Thunnus albacares,Yellowfin tuna,Perciformes,Scombridae,4.4,18,68,0.264705882,0.676470588,pelagic-oceanic,50.5,"Active predation, benthic foraging",Active predation,Benthic foraging,Schooling,,highly commercial,Y,Y,NT,51,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Thyrsites atun,Snoek,Perciformes,Gempylidae,3.6,8,28,0.285714286,0.607142857,benthopelagic,300,"Active predation, particulate feeder",Active predation,Particulate feeder,,,highly commercial,N,Y,Not assessed,63,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Trachurus novaezelandiae,Yellowtail horse mackerel,Perciformes,Carangidae,3.2,1,31,0.032258065,0.032258065,pelagic-oceanic,261,"Benthic foraging, particulate feeder",Benthic foraging,Particulate feeder,Schooling,,commercial,N,Y,LC,38,SPSG,South Pacific,South Pacific Islands,Sept 2015-Oct 2016,2018,Markic et al. 2018,Y,
Osmerus eperlanus,European smelt,Osmeriformes,Osmeridae,3.5,2,10,0.2,,pelagic-neritic,,"Active predation, benthic foraging, particulate feeder",Active predation,Particulate feeder,Spawning,,commercial,N,N,LC,43,NECS,North Atlantic,,2014,2017,McGoran et al. 2017,Y,**no comparative numbers at any site
Platichthys flesus,European flounder,Pleuronectiformes,Pleuronectidae,3.3,49,66,0.742424242,,demersal,50,"Benthic foraging, particulate feeder (juv)",Benthic foraging,Particulate feeder (juv),,,commercial,experimental,Y,LC,42,NECS,North Atlantic,,2014,2017,McGoran et al. 2017,Y,"**only had some numbers of plastic items ingested, including 85 items from one site and 38 from another, out of 3 sites"
Acanthurus coeruleus,Blue tang surgeonfish,Perciformes,Acanthuridae,2,0,1,0,0,reef-associated,21,Grazing,Grazing,,,,minor commercial,N,N,LC,59,BRAZ,South Pacific,Northeastern Brazil,,2016,Miranda and de Carvalho-Souza 2016,Y,Only quantified plastic >1mm
Caranx crysos,Blue runner,Perciformes,Carangidae,4.1,0,3,0,0,reef-associated,50,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Particulate feeder,Schooling,,minor commercial,N,Y,LC,34,BRAZ,South Pacific,Northeastern Brazil,,2016,Miranda and de Carvalho-Souza 2016,Y,Only quantified plastic >1mm
Dasyatis americana,Southern stingray,Myliobatiformes,Dasyatidae,3.5,0,3,0,0,reef-associated,2,Benthic foraging,Benthic foraging,,Solitary,Schooling,commercial,N,Y,DD,77,BRAZ,South Pacific,Northeastern Brazil,,2016,Miranda and de Carvalho-Souza 2016,Y,Only quantified plastic >1mm
Lagocephalus laevigatus,Smooth puffer,Tetraodontiformes,Tetraodontidae,4,0,1,0,0,pelagic-neritic,95,"Active predation, benthic foraging",Benthic foraging,Active predation,Schooling,,minor commercial,N,N,LC,54,BRAZ,South Pacific,Northeastern Brazil,,2016,Miranda and de Carvalho-Souza 2016,Y,Only quantified plastic >1mm
Lutjanus analis,Mutton snapper,Perciformes,Lutjanidae,3.9,0,2,0,0,reef-associated,65,"Active predation, benthic foraging",Benthic foraging,Active predation,Schooling,,highly commercial,N,Y,NT,55,BRAZ,South Pacific,Northeastern Brazil,,2016,Miranda and de Carvalho-Souza 2016,Y,Only quantified plastic >1mm
Lutjanus jocu,Dog snapper,Perciformes,Lutjanidae,4.4,0,5,0,0,reef-associated,17.5,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,N,N,DD,66,BRAZ,South Pacific,Northeastern Brazil,,2016,Miranda and de Carvalho-Souza 2016,Y,Only quantified plastic >1mm
Mycteroperca sp.,,Perciformes,Serranidae,,0,1,0,0,reef-associated,,,,,,,,,,,,BRAZ,South Pacific,Northeastern Brazil,,2016,Miranda and de Carvalho-Souza 2016,Y,Only quantified plastic >1mm
Paralichthys brasiliensis,Brazilian flounder,Pleuronectiformes,Paralichthyidae,4.4,0,1,0,0,demersal,20,Benthic foraging,Benthic foraging,,Spawning,Solitary,commercial,N,Y,Not assessed,55,BRAZ,South Pacific,Northeastern Brazil,,2016,Miranda and de Carvalho-Souza 2016,Y,Only quantified plastic >1mm
Rhizoprionodon lalandii,Brazilian sharpnose shark,Carcharhiniformes,Carcharhinidae,4.3,2,6,0.33,0.67,demersal,36.5,Active predation,Active predation,,,,commercial,N,N,DD,41,BRAZ,South Pacific,Northeastern Brazil,,2016,Miranda and de Carvalho-Souza 2016,Y,Only quantified plastic >1mm
Scomberomorus cavalla,King mackerel,Perciformes,Scombridae,4.4,5,8,0.625,2.5,reef-associated,15,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,commercial,N,Y,LC,58,BRAZ,South Pacific,Northeastern Brazil,,2016,Miranda and de Carvalho-Souza 2016,Y,Only quantified plastic >1mm
Sphyraena guachancho,Guachanche barracuda,Perciformes,Sphyraenidae,4.4,0,1,0,0,pelagic-neritic,50,"Active predation, benthic foraging",Active predation,,Schooling,,commercial,N,N,LC,79,BRAZ,South Pacific,Northeastern Brazil,,2016,Miranda and de Carvalho-Souza 2016,Y,Only quantified plastic >1mm
Boreogadus saida,Polar cod,Gadiformes,Gadidae,3.1,15,85,0.176470588,0.194117647,demersal,200,"Active predation, benthic foraging, particulate feeder",Particulate feeder,Benthic foraging,,,highly commercial,N,N,Not assessed,46,BPRL,Arctic Ocean,Arctic Ocean,2015,2018,Morgana et al. 2018,Y,
Triglops nybelini,Bigeye sculpin,Scorpaeniformes,Cottidae,3.3,24,71,0.338028169,0.338028169,demersal,400,Benthic foraging,Benthic foraging,,,,none,N,N,Not assessed,21,BPRL,Arctic Ocean,Arctic Ocean,2015,2018,Morgana et al. 2018,Y,
Aphanopus carbo,Black scabbard,Perciformes,Trichiuridae,4.5,0,5,0,0,bathypelagic,1000,Active predation,Active predation,,,,highly commercial,N,N,Not assessed,64,NECS,North Atlantic,North Sea,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,
Argentina silus,Greater argentine,Osmeriformes,Argentinidae,3.3,1,15,0.066666667,0.1,demersal,300,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Particulate feeder,,,commercial,N,N,Not assessed,51,NECS,North Atlantic,North Sea,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,
Coryphaenoides rupestris,Round nose grenadier,Gadiformes,Macrouridae,3.5,0,5,0,0,bathypelagic,800,"Active predation, benthic foraging, particulate feeder",Active predation,Particulate feeder,Schooling,,commercial,N,N,CR,67,NECS,North Atlantic,North Sea,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,
Hippoglossus hippoglossus,Halibut,Pleuronectiformes,Pleuronectidae,4,0,14,0,0,demersal,1025,"Active predation, benthic foraging",Active predation,Benthic foraging,,,commercial,experimental,Y,EN,88,NECS,North Atlantic,North Sea,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,
Lepidorhombus whiffiagonis,Megrim,Pleuronectiformes,Scophthalmidae,4.3,1,10,0.1,0.1,demersal,400,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,,,highly commercial,N,N,Not assessed,62,NECS,North Atlantic,North Sea,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,
Limanda limanda,Common dab,Pleuronectiformes,Scophthalmidae,3.4,9,19,0.473684211,1.3,demersal,85,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,N,N,LC,40,NECS,North Atlantic,North Sea,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,
Micomesistius poutassou,Blue whiting,Gadiformes,Gadidae,4.1,0,20,0,0,bathypelagic,350,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Particulate feeder (juv),,,highly commercial,N,N,Not assessed,34,NECS,North Atlantic,North Sea,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,
Molva molva,Ling,Gadiformes,Lotidae,4.4,0,5,0,0,demersal,250,"Active predation, benthic foraging, particulate feeder",Active predation,Benthic foraging,,,highly commercial,N,Y,Not assessed,77,NECS,North Atlantic,North Sea,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,
Platichthys flesus,Flounder,Pleuronectiformes,Pleuronectidae,3.3,24,47,0.510638298,0.8,demersal,50,"Benthic foraging, particulate feeder (juv)",Benthic foraging,Particulate feeder (juv),,,commercial,Y,Y,LC,42,NECS,North Atlantic,North Sea,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,
Pleuronectes platessa,European plaice,Pleuronectiformes,Pleuronectidae,3.2,28,62,0.451612903,0.9,demersal,50,"Active predation, benthic foraging",Benthic foraging,Active predation,,,highly commercial,Y,Y,LC,71,NECS,North Atlantic,North Sea,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,
Pollachius pollachius,Pollock,Gadiformes,Gadidae,4.3,0,5,0,0,benthopelagic,100,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,Schooling,Solitary,commercial,N,Y,LC,59,NECS,North Atlantic,North Sea,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,
Trachurus trachurus,Atlantic horse mackerel,Perciformes,Carangidae,3.7,0,5,0,0,pelagic-neritic,150,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,highly commercial,N,Y,VU,59,NECS,North Atlantic,North Sea,Nov 2013-Dec 2014,2017,Murphy et al. 2017,Y,
Boops boops,Bogue,Perciformes,Sparidae,2.8,195,337,0.578635015,2.17,demersal,50,"Benthic foraging, particulate feeder",Benthic foraging,Particulate feeder,Schooling,,highly commercial,N,Y,LC,50,MEDI,North Atlantic,Balearic Sea,March-May 2014,2016,Nadal et al. 2016,Y,
Alosa fallax,Twaite shad,Clupeiformes,Clupeidae,4,1,1,1,1,pelagic-neritic,250,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,Schooling,Spawning,minor commercial,N,N,LC,50,NAST E,North Atlantic,Portuguese Coast,June-July 2013,2015,Neves et al. 2015,Y,"* Particles: 33 total, 25 plastic particles, 4 black aluminium silicate, 3 white calcium carbonate, 1 unknown"
Argyrosomus regius,Meagre,Perciformes,Sciaenidae,4.3,3,5,0.6,0.8,benthopelagic,300,"Active predation, benthic foraging",Active predation,Benthic foraging,,,commercial,N,Y,LC,67,NAST E,North Atlantic,Portuguese Coast,June-July 2013,2015,Neves et al. 2015,Y,"*Microplastics: 73 total, 48 fibres, 25 fragments"
Boops boops,Bogue,Perciformes,Sparidae,2.8,3,32,0.09375,0.09,demersal,50,"Benthic foraging, particulate feeder",Benthic foraging,Particulate feeder,Schooling,,highly commercial,N,Y,LC,50,NAST E,North Atlantic,Portuguese Coast,June-July 2013,2015,Neves et al. 2015,Y,
Brama brama,Atlantic pomfret,Perciformes,Bramidae,4.1,3,4,0.75,0.67,pelagic-neritic,100,Active predation,Active predation,,Schooling,,commercial,N,N,LC,71,NAST E,North Atlantic,Portuguese Coast,June-July 2013,2015,Neves et al. 2015,Y,
Dentex macrophthalmus,Large-eye dentex,Perciformes,Sparidae,3.5,1,1,1,1,benthopelagic,265,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Particulate feeder (juv),,,commercial,N,Y,LC,33,NAST E,North Atlantic,Portuguese Coast,June-July 2013,2015,Neves et al. 2015,Y,
